,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,50.0,72.52,50.0,50.0,50.0,74.51,50.0,73.51
1,50.0,67.83,50.0,50.0,50.0,72.49,50.0,70.13
2,,67.8,,,,72.14,,69.93
3,50.0,71.55,50.0,50.0,50.0,70.85,50.0,71.17
4,60.0,74.21,60.0,60.0,60.0,75.1,60.0,74.63
5,50.0,66.38,50.0,50.0,50.0,70.5,50.0,68.43
6,100.0,70.68,100.0,100.0,100.0,73.2,100.0,72.01
7,66.67,64.59,66.67,66.67,66.67,66.82,66.67,65.76
8,60.0,70.88,60.0,60.0,60.0,70.91,60.0,70.88
9,60.0,68.03,60.0,60.0,60.0,69.78,60.0,68.93
10,57.14,69.66,57.14,57.14,57.14,70.34,57.14,70.0
11,20.0,66.59,20.0,20.0,20.0,69.36,20.0,67.97
12,57.14,69.48,57.14,57.14,57.14,71.06,57.14,70.28
