PRECINCT NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
02,477.0,0.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,205.0,205.0,0.0,23.0,19.0
03,1290.0,0.0,43.0,56.0,0.0,5.0,2.0,0.0,1.0,1.0,0.0,11.0,15.0,0.0,5.0,1.0,0.0,494.0,440.0,0.0,122.0,94.0
04,499.0,0.0,8.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,259.0,195.0,0.0,11.0,11.0
05,1483.0,1.0,33.0,35.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,17.0,11.0,0.0,1.0,1.0,1.0,426.0,359.0,1.0,330.0,262.0
06,317.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,150.0,139.0,0.0,6.0,6.0
07,961.0,0.0,26.0,24.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,13.0,8.0,0.0,1.0,1.0,0.0,340.0,337.0,0.0,122.0,86.0
TOTAL,5027.0,1.0,124.0,149.0,0.0,10.0,5.0,0.0,1.0,2.0,0.0,45.0,36.0,0.0,8.0,3.0,1.0,1874.0,1675.0,1.0,614.0,478.0
