,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,21.7,39.05,0.0
1,OTHER,44.44,50.0,0.0
2,NATIVE-AM,100.0,0.0,0.0
3,HISP-LT,20.0,40.0,0.0
4,ASIA-PI,20.0,45.45,0.0
5,WHITE,67.32,63.46,100.0
6,BLACK,46.72,55.95,100.0
