,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,67.76,69.57,40.0,68.62
1,70.05,74.38,50.0,72.35
2,53.46,60.6,80.0,57.58
3,56.17,62.25,0.0,59.49
4,64.34,68.85,33.33,66.65
5,63.39,69.71,50.0,66.7
6,62.97,71.3,33.33,67.41
7,67.1,65.87,71.43,66.46
8,64.45,66.85,20.0,65.67
9,58.85,62.83,50.0,60.89
10,65.07,68.93,50.0,67.06
11,66.47,68.63,60.0,67.57
12,64.25,67.67,66.67,65.96
13,66.09,68.27,66.67,67.19
14,61.85,65.68,80.0,63.9
15,60.76,64.88,50.0,62.86
16,56.75,58.43,40.0,57.63
17,60.83,64.28,50.0,62.66
18,70.64,68.51,0.0,69.34
19,57.28,58.72,0.0,58.07
20,69.22,68.08,,68.64
21,69.26,72.5,100.0,71.01
22,63.36,67.94,66.67,65.79
23,66.53,70.44,66.67,68.6
24,60.26,65.44,50.0,62.97
25,68.71,71.93,0.0,70.33
26,63.96,68.63,100.0,66.43
27,51.12,60.39,75.0,56.65
28,65.07,68.63,50.0,66.9
29,65.33,67.53,75.0,66.47
30,61.27,63.59,40.0,62.47
31,64.35,66.76,66.67,65.64
32,65.32,65.45,75.0,65.41
33,63.73,67.39,77.78,65.67
34,64.88,68.26,50.0,66.62
35,0.0,0.0,,0.0
36,63.48,66.63,56.08,65.13
