,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,42.86,44.44,0.0
1,OTHER,50.0,66.67,0.0
2,NATIVE-AM,0.0,0.0,0.0
3,HISP-LT,16.67,33.33,0.0
4,ASIA-PI,100.0,33.33,0.0
5,WHITE,67.01,65.9,0.0
6,BLACK,27.66,35.38,0.0
