,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,16.39,28.33,0.0
1,OTHER,0.0,25.0,0.0
2,NATIVE-AM,0.0,0.0,0.0
3,HISP-LT,18.18,40.91,0.0
4,ASIA-PI,50.0,18.18,0.0
5,WHITE,66.6,65.39,0.0
6,BLACK,36.88,55.19,0.0
