,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,23.53,37.04,0.0
1,OTHER,14.29,66.67,0.0
2,NATIVE-AM,0.0,0.0,0.0
3,HISP-LT,25.0,40.0,0.0
4,ASIA-PI,0.0,50.0,0.0
5,WHITE,46.67,35.71,0.0
6,BLACK,42.43,58.62,0.0
