,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,50.57,56.91,28.57,54.04
1,60.34,63.66,77.78,62.17
2,67.23,71.75,100.0,69.69
3,41.09,51.46,42.86,46.69
4,37.45,47.06,33.33,42.68
5,34.38,47.82,44.44,41.87
6,43.68,49.33,53.85,46.73
7,40.2,44.06,37.5,42.29
8,51.27,56.22,42.31,53.81
9,60.22,64.28,60.0,62.41
10,55.16,64.52,66.67,60.34
11,64.56,66.69,16.67,65.56
12,48.89,56.28,28.57,53.03
13,55.8,61.55,0.0,58.89
14,55.79,62.61,66.67,59.53
15,55.79,59.66,30.0,57.83
16,63.19,68.95,66.67,66.36
17,57.17,61.88,57.14,59.7
18,56.81,57.06,57.14,56.94
19,59.44,65.87,54.55,62.75
20,0.0,0.0,,0.0
21,50.58,54.74,28.57,52.83
22,51.15,57.07,0.0,54.37
23,45.69,52.87,85.71,49.75
24,0.0,0.0,0.0,0.0
25,51.36,57.33,48.48,54.59
