,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,32.0,36.36,0.0
1,OTHER,62.5,28.57,0.0
2,NATIVE-AM,66.67,0.0,0.0
3,HISP-LT,0.0,20.0,0.0
4,ASIA-PI,0.0,50.0,0.0
5,WHITE,63.16,48.0,0.0
6,BLACK,60.37,74.38,0.0
