PRECINCT NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
1055,54.67,0,24.53,26,0,40,33.33,0,100,100,0,50,53.85,0,60,50,0,56.14,57.88,0,38.46,40.00
1056,59.46,0,35.71,27.93,0,45.45,40,0,0,0,0,47.78,35,0,23.08,0,0,60.2,63.63,0,62.5,46.43
1063,59.93,0,31.25,36.36,0,0,0,0,100,0,0,40,50,0,0,0,0,59.33,63.57,0,100,50.00
1064,63.87,0,62.5,28.57,0,0,100,0,0,0,0,16.67,0,0,100,100,0,61.19,65.64,0,80,84.00
1235,53.65,0,28.57,24.14,0,50,0,0,0,50,0,0,0,0,0,0,0,53.98,57.28,0,66.67,33.33
849-A,52.83,0,27.56,14.47,0,57.14,47.62,0,25,0,0,41.71,32.4,0,33.33,22.22,0,55.91,56.5,0,60.92,49.49
849-B,51.99,25,28.41,18.42,0,29.41,32,0,25,20,0,38.31,37.78,0,20.83,31.71,0,54.71,59.54,0,51,37.22
856,57.8,100,40.91,22.22,0,50,25,0,0,100,0,31.58,50,0,66.67,33.33,0,60.18,59.03,0,68.42,38.46
874,60.5,0,18.6,29.55,0,66.67,75,0,0,50,0,100,75,0,0,28.57,0,61.05,64.58,0,30,35.71
973,58.5,0,28.57,18.18,0,50,16.67,0,50,0,0,49.25,30,0,12.5,50,0,61.3,61.42,0,65.62,53.13
TOTAL,55.55,33.33,29.11,21.22,,41.3,37.04,,28.57,32.14,,40.47,35.24,,29.2,31.52,0.0,57.64,60.2,,56.84,43.79
