,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,28.57,29.72,28.57,28.57,28.57,36.48,28.57,33.48
1,33.33,36.6,33.33,33.33,33.33,46.1,33.33,41.97
2,40.0,45.11,40.0,40.0,40.0,53.11,40.0,49.68
3,75.0,52.85,75.0,75.0,75.0,58.11,75.0,55.88
4,66.67,57.32,66.67,66.67,66.67,64.33,66.67,61.17
5,60.0,61.4,60.0,60.0,60.0,67.12,60.0,64.44
6,50.0,65.33,50.0,50.0,50.0,70.09,50.0,67.87
7,75.0,69.08,75.0,75.0,75.0,74.21,75.0,71.85
8,27.27,72.97,27.27,27.27,27.27,71.03,27.27,71.81
9,45.45,56.89,45.45,45.45,45.45,61.21,45.45,59.28
