,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,33.33,44.63,33.33,33.33,33.33,47.82,33.33,46.34
1,18.52,40.94,18.52,18.52,18.52,47.77,18.52,44.74
2,100.0,58.56,100.0,100.0,100.0,66.72,100.0,62.79
3,33.33,53.66,33.33,33.33,33.33,55.25,33.33,54.49
4,0.0,33.22,0.0,0.0,0.0,45.61,0.0,40.41
5,0.0,49.83,0.0,0.0,0.0,49.32,0.0,49.55
6,0.0,56.69,0.0,0.0,0.0,59.6,0.0,58.16
7,50.0,54.04,50.0,50.0,50.0,55.56,50.0,54.87
8,,0.0,,,,100.0,,50.0
9,,0.0,,,,0.0,,0.0
10,24.56,45.69,24.56,24.56,24.56,50.14,24.56,48.11
