,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,50.0,30.16,50.0,50.0,50.0,37.86,50.0,34.09
1,35.71,38.09,35.71,35.71,35.71,44.71,35.71,41.5
2,37.5,45.88,37.5,37.5,37.5,50.31,37.5,48.26
3,50.0,51.47,50.0,50.0,50.0,57.15,50.0,54.43
4,54.55,57.96,54.55,54.55,54.55,60.5,54.55,59.28
5,60.0,60.55,60.0,60.0,60.0,63.67,60.0,62.11
6,27.27,64.36,27.27,27.27,27.27,66.39,27.27,65.37
7,83.33,68.23,83.33,83.33,83.33,70.4,83.33,69.38
8,54.84,73.63,54.84,54.84,54.84,70.21,54.84,71.75
9,48.87,57.33,48.87,48.87,48.87,60.04,48.87,58.74
