,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,33.77,50.0,0.0
1,OTHER,50.0,33.33,0.0
2,NATIVE-AM,0.0,100.0,0.0
3,HISP-LT,16.67,60.0,0.0
4,ASIA-PI,50.0,100.0,0.0
5,WHITE,62.77,63.68,0.0
6,BLACK,42.26,59.28,0.0
