,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,14.29,21.76,14.29,14.29,14.29,29.24,14.29,25.86
1,37.5,29.34,37.5,37.5,37.5,36.57,37.5,33.46
2,30.77,34.5,30.77,30.77,30.77,41.79,30.77,38.68
3,33.33,40.87,33.33,33.33,33.33,49.54,33.33,45.87
4,0.0,49.49,0.0,0.0,0.0,55.94,0.0,53.07
5,45.45,54.31,45.45,45.45,45.45,60.71,45.45,57.86
6,45.45,60.63,45.45,45.45,45.45,65.52,45.45,63.29
7,60.0,66.18,60.0,60.0,60.0,70.26,60.0,68.41
8,36.84,70.96,36.84,36.84,36.84,68.25,36.84,69.34
9,32.48,48.61,32.48,32.48,32.48,53.58,32.48,51.41
