,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,,0.0,,,,0.0,,0.0
1,0.0,31.97,0.0,0.0,0.0,44.99,0.0,39.28
2,16.67,47.06,16.67,16.67,16.67,61.24,16.67,55.15
3,0.0,48.04,0.0,0.0,0.0,56.78,0.0,52.73
4,25.0,49.57,25.0,25.0,25.0,62.18,25.0,56.79
5,0.0,52.42,0.0,0.0,0.0,64.05,0.0,58.59
6,0.0,36.07,0.0,0.0,0.0,53.26,0.0,45.46
7,16.67,27.42,16.67,16.67,16.67,44.35,16.67,35.66
8,0.0,39.36,0.0,0.0,0.0,52.84,0.0,46.96
9,16.67,30.44,16.67,16.67,16.67,45.04,16.67,38.88
10,20.0,41.61,20.0,20.0,20.0,57.96,20.0,51.09
11,16.67,39.78,16.67,16.67,16.67,55.27,16.67,48.76
12,50.0,54.23,50.0,50.0,50.0,60.1,50.0,57.49
13,42.86,49.42,42.86,42.86,42.86,58.1,42.86,54.29
14,66.67,69.29,66.67,66.67,66.67,70.68,66.67,70.03
15,50.0,64.03,50.0,50.0,50.0,67.61,50.0,66.04
16,66.67,66.95,66.67,66.67,66.67,69.04,66.67,68.12
17,40.0,59.32,40.0,40.0,40.0,63.09,40.0,61.38
18,0.0,59.43,0.0,0.0,0.0,68.63,0.0,64.63
19,,54.35,,,,59.82,,57.51
20,50.0,58.27,50.0,50.0,50.0,63.9,50.0,61.45
21,25.0,70.39,25.0,25.0,25.0,73.7,25.0,72.07
22,11.11,66.35,11.11,11.11,11.11,69.04,11.11,67.68
23,75.0,62.53,75.0,75.0,75.0,65.96,75.0,64.34
24,37.5,47.47,37.5,37.5,37.5,53.59,37.5,50.79
25,28.57,46.94,28.57,28.57,28.57,56.32,28.57,52.1
26,0.0,41.37,0.0,0.0,0.0,58.77,0.0,51.21
27,0.0,43.27,0.0,0.0,0.0,57.86,0.0,51.56
28,50.0,61.06,50.0,50.0,50.0,66.05,50.0,63.76
29,40.0,57.39,40.0,40.0,40.0,62.15,40.0,60.15
30,50.0,70.06,50.0,50.0,50.0,71.36,50.0,70.72
31,100.0,68.77,100.0,100.0,100.0,70.1,100.0,69.48
32,28.47,52.22,28.47,28.47,28.47,60.66,28.47,56.88
