,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,0.0,56.65,0.0,0.0,0.0,58.97,0.0,57.85
1,,55.67,,,,52.12,,53.86
2,,55.73,,,,57.96,,56.86
3,100.0,57.73,100.0,100.0,100.0,58.92,100.0,58.39
4,,62.12,,,,58.21,,60.15
5,,63.07,,,,66.56,,64.85
6,0.0,65.47,0.0,0.0,0.0,62.77,0.0,63.9
7,100.0,55.51,100.0,100.0,100.0,58.01,100.0,56.88
8,0.0,64.49,0.0,0.0,0.0,59.11,0.0,61.53
9,0.0,50.6,0.0,0.0,0.0,53.81,0.0,52.29
10,0.0,53.54,0.0,0.0,0.0,51.88,0.0,52.61
11,33.33,55.77,33.33,33.33,33.33,56.82,33.33,56.31
