,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,47.34,57.6,0.0
1,OTHER,50.0,63.64,0.0
2,NATIVE-AM,0.0,66.67,0.0
3,HISP-LT,53.85,60.0,0.0
4,ASIA-PI,46.67,56.16,0.0
5,WHITE,73.68,73.0,50.0
6,BLACK,66.67,63.04,0.0
