,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,52.82,63.85,0.0
1,OTHER,55.56,63.64,0.0
2,NATIVE-AM,100.0,100.0,0.0
3,HISP-LT,50.0,50.0,100.0
4,ASIA-PI,61.11,65.0,0.0
5,WHITE,69.78,70.43,25.0
6,BLACK,67.71,68.64,0.0
