,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,0.0,56.2,0.0,0.0,0.0,60.51,0.0,58.32
1,42.86,48.23,42.86,42.86,42.86,53.9,42.86,51.4
2,,53.63,,,,57.05,,55.47
3,75.0,54.77,75.0,75.0,75.0,56.48,75.0,55.7
4,66.67,49.79,66.67,66.67,66.67,54.35,66.67,52.35
5,25.0,35.8,25.0,25.0,25.0,39.77,25.0,37.87
6,0.0,61.39,0.0,0.0,0.0,62.82,0.0,62.08
7,,69.14,,,,70.44,,69.82
8,0.0,57.98,0.0,0.0,0.0,62.02,0.0,60.06
9,33.33,60.96,33.33,33.33,33.33,63.1,33.33,62.06
10,,53.19,,,,55.41,,54.36
11,,62.06,,,,62.2,,62.13
12,100.0,55.89,100.0,100.0,100.0,59.76,100.0,57.95
13,,67.38,,,,65.49,,66.39
14,,0.0,,,,0.0,,0.0
15,100.0,51.72,100.0,100.0,100.0,55.71,100.0,53.95
16,,20.0,,,,0.0,,10.0
17,38.1,52.14,38.1,38.1,38.1,55.44,38.1,53.9
