,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,27.78,34.91,0.0
1,OTHER,63.64,75.0,0.0
2,NATIVE-AM,0.0,150.0,0.0
3,HISP-LT,41.03,46.88,0.0
4,ASIA-PI,71.43,46.15,0.0
5,WHITE,64.89,64.98,100.0
6,BLACK,52.1,65.31,0.0
