,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,25.0,30.08,25.0,25.0,25.0,33.55,25.0,31.92
1,0.0,37.53,0.0,0.0,0.0,44.19,0.0,41.19
2,100.0,48.25,100.0,100.0,100.0,52.1,100.0,50.49
3,0.0,51.84,0.0,0.0,0.0,54.4,0.0,53.17
4,0.0,56.8,0.0,0.0,0.0,58.81,0.0,57.91
5,0.0,57.23,0.0,0.0,0.0,63.3,0.0,60.39
6,25.0,62.82,25.0,25.0,25.0,68.79,25.0,66.04
7,0.0,67.09,0.0,0.0,0.0,68.53,0.0,67.83
8,66.67,70.8,66.67,66.67,66.67,68.55,66.67,69.54
9,27.78,55.46,27.78,27.78,27.78,58.24,27.78,56.96
