,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,17.86,31.32,17.86,17.86,17.86,37.68,17.86,34.72
1,23.08,41.78,23.08,23.08,23.08,46.88,23.08,44.62
2,20.0,48.43,20.0,20.0,20.0,53.79,20.0,51.43
3,18.18,56.08,18.18,18.18,18.18,60.11,18.18,58.28
4,50.0,61.52,50.0,50.0,50.0,63.46,50.0,62.56
5,60.0,67.24,60.0,60.0,60.0,67.1,60.0,67.16
6,45.45,70.19,45.45,45.45,45.45,71.57,45.45,70.87
7,25.0,74.62,25.0,25.0,25.0,73.69,25.0,74.1
8,50.0,76.98,50.0,50.0,50.0,71.69,50.0,74.04
9,31.3,60.26,31.3,31.3,31.3,61.22,31.3,60.74
