,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,30.52,36.43,0.0
1,OTHER,36.0,36.36,0.0
2,NATIVE-AM,0.0,0.0,0.0
3,HISP-LT,30.0,36.36,0.0
4,ASIA-PI,0.0,50.0,0.0
5,WHITE,51.06,61.02,0.0
6,BLACK,43.55,56.19,0.0
