,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,42.47,53.44,,49.11
1,54.27,64.95,100.0,60.24
2,58.79,62.6,,60.91
3,49.55,57.19,,53.78
4,59.97,63.47,100.0,61.82
5,65.54,66.09,100.0,65.84
6,43.92,51.19,100.0,47.99
7,48.11,59.09,50.0,54.15
8,54.97,63.67,100.0,59.66
9,65.76,69.23,,67.58
10,51.94,61.79,100.0,57.36
11,63.46,68.83,0.0,66.25
12,71.47,69.73,,70.57
13,69.04,74.24,,71.63
14,61.66,64.19,,63.04
15,50.9,56.18,100.0,53.76
16,50.63,58.61,100.0,54.99
17,49.67,59.15,0.0,54.99
18,42.22,54.44,,49.73
19,45.75,60.48,100.0,54.53
20,70.0,72.36,,71.2
21,0.0,,,0.0
22,0.0,0.0,,0.0
23,54.15,61.24,76.92,58.07
