,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,0.0,55.95,0.0,0.0,0.0,55.43,0.0,55.58
1,100.0,51.98,100.0,100.0,100.0,62.39,100.0,58.11
2,100.0,62.32,100.0,100.0,100.0,71.14,100.0,67.01
3,100.0,53.21,100.0,100.0,100.0,60.96,100.0,57.59
4,,58.94,,,,63.52,,61.32
5,0.0,52.14,0.0,0.0,0.0,58.01,0.0,55.14
6,0.0,54.22,0.0,0.0,0.0,61.65,0.0,57.94
7,,64.4,,,,61.03,,62.69
8,0.0,58.61,0.0,0.0,0.0,66.85,0.0,63.1
9,,60.42,,,,64.5,,62.66
10,0.0,56.25,0.0,0.0,0.0,62.11,0.0,59.42
11,,65.93,,,,64.94,,65.41
12,,72.12,,,,68.93,,70.53
13,40.0,56.29,40.0,40.0,40.0,61.51,40.0,59.1
