,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,50.92,51.71,50.0,51.34
1,53.0,55.86,50.0,54.48
2,63.6,71.22,,67.28
3,52.64,55.44,80.0,54.11
4,56.85,56.7,0.0,56.74
5,61.5,63.49,33.33,62.51
6,50.08,54.03,0.0,52.08
7,62.0,64.2,100.0,63.17
8,61.52,64.11,33.33,62.81
9,61.13,63.92,0.0,62.53
10,47.29,48.04,66.67,47.7
11,51.8,55.63,33.33,53.76
12,48.45,51.37,0.0,49.95
13,42.81,48.5,20.0,45.95
14,46.63,51.3,66.67,49.05
15,47.2,50.98,0.0,49.15
16,55.44,60.14,,57.81
17,59.79,62.32,66.67,61.07
18,38.28,46.42,60.0,42.9
19,52.9,52.18,0.0,52.41
20,52.78,54.02,60.0,53.48
21,49.77,50.93,16.67,50.34
22,51.58,57.44,50.0,54.77
23,55.84,55.97,0.0,55.88
24,54.67,61.0,0.0,57.93
25,61.76,65.09,0.0,63.51
26,58.28,62.56,33.33,60.5
27,0.0,0.0,,0.0
28,0.0,0.0,0.0,0.0
29,52.2,55.21,40.24,53.78
