,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,0.0,,,0.0
1,52.14,59.63,66.67,56.2
2,49.98,54.4,0.0,52.45
3,46.26,53.65,40.0,50.3
4,63.79,68.24,75.0,66.15
5,42.27,52.56,0.0,48.06
6,58.23,61.02,100.0,59.71
7,56.69,60.53,57.14,58.66
8,50.77,57.73,40.0,54.27
9,59.63,64.36,25.0,62.01
10,50.49,55.44,16.67,53.1
11,51.08,58.93,75.0,55.55
12,59.85,65.32,50.0,62.81
13,56.41,66.92,50.0,62.43
14,34.57,45.87,12.5,41.38
15,58.76,62.64,100.0,60.79
16,47.6,50.98,14.29,49.34
17,62.85,67.1,75.0,65.01
18,68.02,69.24,100.0,68.69
19,45.64,52.11,58.33,49.2
20,51.16,57.41,,54.55
21,52.93,61.51,66.67,57.58
22,45.66,55.76,60.0,51.56
23,67.43,70.06,0.0,68.74
24,66.4,70.51,50.0,68.5
25,36.55,43.4,54.55,40.23
26,63.51,67.34,33.33,65.5
27,68.3,69.91,40.0,69.04
28,62.91,63.91,33.33,63.38
29,64.13,66.23,0.0,65.19
30,68.8,71.83,50.0,70.35
31,65.86,69.41,100.0,67.72
32,41.58,48.0,42.86,44.9
33,62.63,65.96,50.0,64.35
34,62.82,68.26,50.0,65.72
35,54.46,59.9,60.0,57.45
36,62.8,67.98,50.0,65.51
37,53.01,58.87,,56.14
38,45.44,56.33,63.64,51.3
39,38.1,43.72,40.0,41.23
40,65.01,67.2,100.0,66.15
41,63.61,65.84,50.0,64.73
42,63.47,63.03,66.67,63.25
43,65.6,69.26,50.0,67.47
44,56.08,61.83,0.0,59.02
45,55.99,64.87,50.0,61.03
46,67.89,69.93,50.0,68.94
47,65.62,67.5,80.0,66.62
48,63.52,65.63,80.0,64.61
49,0.0,,,0.0
50,49.72,53.39,25.0,51.69
51,52.2,56.49,50.0,54.43
52,45.05,54.55,33.33,50.6
53,52.35,56.68,50.0,54.65
54,57.48,62.17,12.5,59.92
55,62.23,68.27,,65.33
56,64.47,68.82,,66.74
57,64.83,66.76,57.14,65.84
58,66.46,69.63,71.43,68.08
59,64.67,67.46,66.67,66.1
60,61.02,67.78,66.67,64.67
61,67.65,71.48,50.0,69.63
62,64.08,66.73,28.57,65.38
63,67.62,70.9,60.0,69.31
64,63.41,68.07,100.0,65.87
65,53.2,62.39,50.0,58.2
66,48.05,53.72,0.0,51.05
67,58.68,64.37,33.33,61.55
68,65.47,69.85,0.0,67.69
69,69.86,73.49,33.33,71.62
70,54.33,63.94,50.0,59.51
71,64.65,66.04,80.0,65.38
72,63.05,68.43,60.0,65.96
73,68.19,71.11,0.0,69.71
74,64.57,67.77,75.0,66.25
75,40.65,44.96,46.67,42.94
76,71.25,72.2,50.0,71.75
77,55.17,60.67,60.0,58.19
78,53.09,60.58,20.0,57.56
79,76.68,77.73,0.0,77.21
80,59.37,63.05,100.0,61.44
81,69.66,70.41,,70.06
82,46.74,54.87,33.33,51.3
83,35.57,43.23,33.33,39.79
84,41.26,48.72,75.0,45.37
85,64.79,67.62,75.0,66.34
86,34.99,40.48,45.45,37.98
87,58.68,60.74,0.0,59.65
88,54.09,59.19,50.0,56.75
89,65.38,67.18,55.56,66.29
90,64.1,68.89,40.0,66.65
91,69.96,70.38,28.57,70.08
92,56.95,60.52,100.0,58.89
93,55.55,61.27,44.44,58.78
94,50.05,57.07,50.0,53.88
95,59.21,61.67,33.33,60.49
96,60.69,62.98,37.5,61.87
97,68.94,73.09,0.0,71.01
98,53.71,62.35,88.89,58.54
99,39.22,49.13,14.29,44.67
100,54.27,62.02,16.67,58.47
101,63.2,69.34,50.0,66.41
102,48.39,61.23,0.0,55.32
103,56.73,60.33,40.0,58.64
104,64.12,66.59,50.0,65.37
105,70.36,70.58,33.33,70.44
106,65.22,65.75,57.14,65.47
107,63.38,66.96,66.67,65.2
108,59.92,59.34,50.0,59.62
109,60.3,66.0,100.0,63.53
110,47.89,59.01,23.08,54.1
111,54.27,63.79,33.33,59.56
112,56.97,60.48,75.0,58.75
113,64.39,67.4,50.0,65.9
114,37.82,52.79,25.0,46.39
115,66.72,70.49,50.0,68.57
116,66.47,68.21,71.43,67.36
117,62.56,66.97,50.0,64.84
118,67.7,68.99,50.0,68.32
119,63.68,66.4,33.33,65.02
120,63.77,68.53,50.0,66.24
121,52.0,54.3,66.67,53.28
122,44.66,52.43,42.86,48.95
123,46.81,56.61,75.0,52.51
124,55.37,60.47,63.64,58.19
125,63.66,65.28,44.44,64.53
126,50.99,58.8,57.14,55.21
127,62.31,66.55,40.0,64.6
128,65.93,70.07,22.22,68.14
129,70.42,73.35,0.0,71.84
130,62.26,65.09,50.0,63.66
131,61.74,62.45,50.0,62.11
132,58.13,64.78,100.0,61.73
133,41.46,50.76,37.5,47.23
134,45.73,51.82,45.45,49.08
135,68.19,70.69,33.33,69.42
136,64.72,65.79,66.67,65.28
137,51.99,58.65,100.0,55.58
138,49.24,54.59,80.0,52.21
139,56.53,59.26,28.57,58.04
140,63.74,66.04,40.0,64.95
141,57.15,64.53,50.0,61.05
142,65.83,69.83,50.0,67.82
143,56.81,61.49,48.86,59.31
