,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,36.54,27.87,0.0
1,OTHER,40.0,57.14,0.0
2,NATIVE-AM,inf,0.0,0.0
3,HISP-LT,45.45,70.0,0.0
4,ASIA-PI,55.56,28.57,0.0
5,WHITE,48.87,44.12,0.0
6,BLACK,48.65,46.32,0.0
