,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,28.57,31.78,28.57,28.57,28.57,42.28,28.57,37.48
1,21.43,36.85,21.43,21.43,21.43,49.93,21.43,44.06
2,0.0,45.06,0.0,0.0,0.0,58.4,0.0,52.5
3,28.57,49.9,28.57,28.57,28.57,61.74,28.57,56.43
4,33.33,56.85,33.33,33.33,33.33,64.24,33.33,60.9
5,60.0,59.91,60.0,60.0,60.0,68.86,60.0,64.85
6,18.18,64.21,18.18,18.18,18.18,71.61,18.18,68.2
7,50.0,69.38,50.0,50.0,50.0,74.65,50.0,72.32
8,11.11,73.05,11.11,11.11,11.11,72.52,11.11,72.72
9,25.64,55.77,25.64,25.64,25.64,63.62,25.64,60.14
