,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,50.0,49.13,50.0,50.0,50.0,58.26,50.0,54.21
1,50.0,63.64,50.0,50.0,50.0,68.65,50.0,66.16
2,0.0,46.57,0.0,0.0,0.0,61.55,0.0,55.16
3,0.0,54.09,0.0,0.0,0.0,60.9,0.0,57.87
4,100.0,68.31,100.0,100.0,100.0,73.66,100.0,71.08
5,,65.79,,,,64.84,,65.27
6,,85.71,,,,78.38,,81.94
7,100.0,53.15,100.0,100.0,100.0,53.82,100.0,53.53
8,,73.68,,,,70.13,,71.9
9,0.0,45.13,0.0,0.0,0.0,52.21,0.0,49.14
10,100.0,67.58,100.0,100.0,100.0,64.13,100.0,65.94
11,38.46,52.54,38.46,38.46,38.46,58.94,38.46,56.07
