,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,26.09,46.34,0.0
1,OTHER,27.27,42.86,0.0
2,NATIVE-AM,0.0,0.0,0.0
3,HISP-LT,54.55,36.36,0.0
4,ASIA-PI,0.0,0.0,0.0
5,WHITE,66.67,26.92,0.0
6,BLACK,56.6,72.65,0.0
