,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,37.04,39.71,0.0
1,OTHER,80.0,66.67,0.0
2,NATIVE-AM,0.0,0.0,0.0
3,HISP-LT,30.0,71.43,0.0
4,ASIA-PI,0.0,50.0,0.0
5,WHITE,63.62,63.22,0.0
6,BLACK,56.72,63.64,0.0
