,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,0.0,54.99,0.0,0.0,0.0,55.15,0.0,55.01
1,100.0,56.31,100.0,100.0,100.0,56.6,100.0,56.49
2,0.0,60.71,0.0,0.0,0.0,61.06,0.0,60.85
3,50.0,57.04,50.0,50.0,50.0,60.42,50.0,58.73
4,50.0,52.7,50.0,50.0,50.0,52.59,50.0,52.64
5,100.0,58.26,100.0,100.0,100.0,59.18,100.0,58.77
6,50.0,42.44,50.0,50.0,50.0,40.52,50.0,41.38
7,50.0,54.91,50.0,50.0,50.0,54.92,50.0,54.92
8,0.0,52.76,0.0,0.0,0.0,57.36,0.0,55.12
9,33.33,46.09,33.33,33.33,33.33,41.74,33.33,43.69
10,,,,,,0.0,,0.0
11,,0.0,,,,,,0.0
12,48.0,52.29,48.0,48.0,48.0,51.65,48.0,51.95
