,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,30.59,35.6,0.0
1,OTHER,33.33,33.33,0.0
2,NATIVE-AM,100.0,33.33,0.0
3,HISP-LT,27.5,52.38,0.0
4,ASIA-PI,42.86,44.44,0.0
5,WHITE,59.15,58.85,50.0
6,BLACK,44.83,56.25,0.0
