,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,56.69,57.1,,56.9
1,51.65,61.29,,56.68
2,52.18,57.82,0.0,55.11
3,65.89,65.18,100.0,65.54
4,49.57,53.87,100.0,51.87
5,0.0,0.0,,0.0
6,0.0,0.0,,0.0
7,54.64,59.07,66.67,56.96
