,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,64.99,65.59,0.0,65.26
1,66.13,66.71,66.67,66.42
2,62.54,63.57,100.0,63.09
3,59.97,63.12,100.0,61.61
4,51.04,54.63,100.0,52.89
5,60.98,63.59,0.0,62.3
6,67.26,68.74,60.0,68.02
7,61.7,61.69,71.43,61.71
8,54.41,56.69,42.86,55.63
9,50.15,53.76,57.14,52.11
10,52.79,54.91,62.5,53.97
11,61.27,61.15,0.0,61.19
12,62.88,67.43,100.0,65.19
13,60.87,60.84,100.0,60.89
14,51.95,53.84,60.0,52.97
15,65.48,66.68,83.33,66.11
16,62.31,63.71,62.5,63.05
17,64.31,64.66,50.0,64.48
18,63.61,68.19,50.0,65.95
19,55.6,53.4,40.0,54.43
20,51.11,53.44,33.33,52.32
21,52.45,54.48,36.36,53.52
22,61.81,62.66,55.56,62.27
23,66.26,67.33,100.0,66.82
24,64.85,66.29,100.0,65.58
25,54.48,57.75,100.0,56.2
26,,0.0,,0.0
27,64.34,62.3,0.0,63.25
28,49.74,51.04,,50.43
29,62.04,64.23,83.33,63.2
30,56.29,62.23,100.0,59.27
31,66.16,67.42,80.0,66.82
32,66.58,64.35,100.0,65.47
33,56.5,59.64,61.54,58.15
34,57.68,58.91,40.0,58.32
35,66.83,66.65,33.33,66.68
36,60.0,60.35,60.0,60.18
37,59.01,60.28,75.0,59.67
38,66.51,65.31,0.0,65.87
39,60.0,60.99,40.0,60.47
40,58.16,61.23,33.33,59.75
41,55.13,56.97,57.14,56.12
42,0.0,,,0.0
43,59.23,60.6,57.65,59.95
