,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,33.33,36.73,0.0
1,OTHER,41.18,58.33,0.0
2,NATIVE-AM,50.0,50.0,0.0
3,HISP-LT,21.05,46.67,0.0
4,ASIA-PI,50.0,38.46,0.0
5,WHITE,58.8,56.84,0.0
6,BLACK,51.5,56.52,0.0
