,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,,31.75,,,,42.68,,37.92
1,50.0,40.19,50.0,50.0,50.0,51.78,50.0,46.77
2,0.0,49.78,0.0,0.0,0.0,52.08,0.0,51.06
3,50.0,51.95,50.0,50.0,50.0,67.67,50.0,60.8
4,,65.45,,,,68.19,,66.94
5,,61.77,,,,67.24,,64.6
6,,65.4,,,,71.06,,68.5
7,,71.01,,,,75.1,,73.3
8,0.0,77.03,0.0,0.0,0.0,73.35,0.0,74.88
9,33.33,60.6,33.33,33.33,33.33,64.97,33.33,63.03
