,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,44.75,42.97,,43.81
1,39.66,40.71,,40.24
2,40.85,42.84,0.0,41.91
3,54.91,52.64,,53.73
4,55.71,60.61,,58.09
5,49.41,47.75,33.33,48.41
6,0.0,0.0,,0.0
7,0.0,0.0,,0.0
8,45.05,44.63,25.0,44.81
