,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,,32.56,,,,42.86,,38.27
1,,42.5,,,,47.44,,45.29
2,100.0,49.35,100.0,100.0,100.0,51.49,100.0,50.55
3,,59.32,,,,56.98,,58.04
4,,62.95,,,,64.72,,63.89
5,,65.89,,,,66.84,,66.42
6,,69.02,,,,69.19,,69.11
7,100.0,70.49,100.0,100.0,100.0,73.83,100.0,72.28
8,,76.39,,,,73.73,,74.91
9,100.0,63.18,100.0,100.0,100.0,64.2,100.0,63.74
