,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,8.0,19.18,8.0,8.0,8.0,30.37,8.0,25.16
1,2.38,28.29,2.38,2.38,2.38,40.92,2.38,35.19
2,14.81,34.96,14.81,14.81,14.81,48.51,14.81,42.51
3,8.11,40.98,8.11,8.11,8.11,56.49,8.11,49.68
4,12.12,47.88,12.12,12.12,12.12,56.56,12.12,52.39
5,10.26,53.35,10.26,10.26,10.26,61.33,10.26,57.49
6,7.69,54.16,7.69,7.69,7.69,66.41,7.69,60.52
7,37.04,59.3,37.04,37.04,37.04,69.73,37.04,64.96
8,17.91,66.79,17.91,17.91,17.91,66.95,17.91,66.63
9,12.35,46.81,12.35,12.35,12.35,55.93,12.35,51.68
