,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,36.36,32.62,36.36,36.36,36.36,39.89,36.36,36.28
1,50.0,43.45,50.0,50.0,50.0,49.81,50.0,46.83
2,70.0,54.26,70.0,70.0,70.0,62.91,70.0,59.01
3,60.0,61.7,60.0,60.0,60.0,68.93,60.0,65.66
4,58.33,67.28,58.33,58.33,58.33,71.96,58.33,69.8
5,73.33,71.88,73.33,73.33,73.33,74.54,73.33,73.3
6,60.0,74.87,60.0,60.0,60.0,77.47,60.0,76.21
7,77.78,79.15,77.78,77.78,77.78,80.73,77.78,79.99
8,66.67,81.97,66.67,66.67,66.67,76.52,66.67,79.01
9,62.04,67.47,62.04,62.04,62.04,69.94,62.04,68.78
