,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,31.9,46.76,40.0,40.56
1,65.17,67.27,66.67,66.33
2,40.68,48.62,50.0,45.33
3,33.76,46.57,0.0,41.48
4,66.01,66.67,,66.36
5,64.27,66.3,100.0,65.39
6,55.42,57.6,100.0,56.56
7,58.28,64.46,33.33,61.66
8,62.99,66.24,66.67,64.68
9,57.86,58.22,,58.05
10,55.28,56.92,33.33,56.09
11,46.49,50.2,50.0,48.42
12,45.2,53.86,33.33,50.07
13,45.32,51.74,100.0,48.76
14,,0.0,,0.0
15,58.44,63.87,,61.33
16,58.66,61.91,,60.35
17,66.09,68.94,50.0,67.57
18,,0.0,,0.0
19,0.0,,,0.0
20,90.0,120.0,,105.0
21,4.76,7.14,,5.95
22,53.64,58.22,50.0,56.13
