,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,,75.86,,,,86.75,,81.18
1,,70.37,,,,75.0,,72.78
2,100.0,67.81,100.0,100.0,100.0,72.73,100.0,70.58
3,,60.66,,,,60.13,,60.38
4,,64.35,,,,74.58,,69.67
5,0.0,56.31,0.0,0.0,0.0,69.06,0.0,63.41
6,,64.55,,,,73.25,,69.31
7,,68.25,,,,74.41,,71.33
8,50.0,63.91,50.0,50.0,50.0,71.13,50.0,67.79
