,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,50.0,50.92,50.0,50.0,50.0,51.71,50.0,51.34
1,50.0,53.0,50.0,50.0,50.0,55.86,50.0,54.48
2,,63.6,,,,71.22,,67.28
3,80.0,52.64,80.0,80.0,80.0,55.44,80.0,54.11
4,0.0,56.85,0.0,0.0,0.0,56.7,0.0,56.74
5,33.33,61.5,33.33,33.33,33.33,63.49,33.33,62.51
6,0.0,50.08,0.0,0.0,0.0,54.03,0.0,52.08
7,100.0,62.0,100.0,100.0,100.0,64.2,100.0,63.17
8,33.33,61.52,33.33,33.33,33.33,64.11,33.33,62.81
9,0.0,61.13,0.0,0.0,0.0,63.92,0.0,62.53
10,66.67,47.29,66.67,66.67,66.67,48.04,66.67,47.7
11,33.33,51.8,33.33,33.33,33.33,55.63,33.33,53.76
12,0.0,48.45,0.0,0.0,0.0,51.37,0.0,49.95
13,20.0,42.81,20.0,20.0,20.0,48.5,20.0,45.95
14,66.67,46.63,66.67,66.67,66.67,51.3,66.67,49.05
15,0.0,47.2,0.0,0.0,0.0,50.98,0.0,49.15
16,,55.44,,,,60.14,,57.81
17,66.67,59.79,66.67,66.67,66.67,62.32,66.67,61.07
18,60.0,38.28,60.0,60.0,60.0,46.42,60.0,42.9
19,0.0,52.9,0.0,0.0,0.0,52.18,0.0,52.41
20,60.0,52.78,60.0,60.0,60.0,54.02,60.0,53.48
21,16.67,49.77,16.67,16.67,16.67,50.93,16.67,50.34
22,50.0,51.58,50.0,50.0,50.0,57.44,50.0,54.77
23,0.0,55.84,0.0,0.0,0.0,55.97,0.0,55.88
24,0.0,54.67,0.0,0.0,0.0,61.0,0.0,57.93
25,0.0,61.76,0.0,0.0,0.0,65.09,0.0,63.51
26,33.33,58.28,33.33,33.33,33.33,62.56,33.33,60.5
27,,0.0,,,,0.0,,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,40.24,52.2,40.24,40.24,40.24,55.21,40.24,53.78
