,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,20.59,35.3,20.59,20.59,20.59,46.23,20.59,41.2
1,22.73,42.73,22.73,22.73,22.73,52.09,22.73,47.77
2,30.77,47.58,30.77,30.77,30.77,57.83,30.77,53.1
3,33.33,53.15,33.33,33.33,33.33,63.61,33.33,58.78
4,7.14,58.88,7.14,7.14,7.14,67.77,7.14,63.57
5,22.22,61.9,22.22,22.22,22.22,69.89,22.22,66.16
6,14.29,63.95,14.29,14.29,14.29,72.11,14.29,68.41
7,20.0,67.38,20.0,20.0,20.0,73.88,20.0,71.04
8,6.19,70.32,6.19,6.19,6.19,71.12,6.19,70.72
9,14.15,55.03,14.15,14.15,14.15,63.28,14.15,59.54
