,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,20.0,29.43,20.0,20.0,20.0,40.64,20.0,35.35
1,0.0,33.38,0.0,0.0,0.0,48.39,0.0,41.84
2,20.0,43.87,20.0,20.0,20.0,56.81,20.0,51.41
3,66.67,51.0,66.67,66.67,66.67,62.1,66.67,57.6
4,40.0,59.8,40.0,40.0,40.0,69.73,40.0,65.44
5,100.0,63.08,100.0,100.0,100.0,70.79,100.0,67.34
6,100.0,68.93,100.0,100.0,100.0,72.92,100.0,71.15
7,50.0,71.74,50.0,50.0,50.0,74.95,50.0,73.45
8,40.0,72.43,40.0,40.0,40.0,69.84,40.0,70.98
9,37.84,57.3,37.84,37.84,37.84,63.9,37.84,60.97
