,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,33.71,38.92,0.0
1,OTHER,36.84,26.32,0.0
2,NATIVE-AM,50.0,50.0,0.0
3,HISP-LT,35.96,47.12,100.0
4,ASIA-PI,66.67,58.82,0.0
5,WHITE,55.45,54.63,0.0
6,BLACK,51.37,63.1,100.0
