,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,55.49,56.11,75.0,55.84
1,58.3,61.92,33.33,60.17
2,58.26,64.63,75.0,61.69
3,37.85,44.43,33.33,41.38
4,35.21,43.59,0.0,39.4
5,41.45,45.74,0.0,43.59
6,50.61,50.59,100.0,50.66
7,59.29,55.04,,57.09
8,57.84,58.32,50.0,58.08
9,46.49,49.28,66.67,48.04
10,51.52,57.07,,54.34
11,50.65,54.79,0.0,52.87
12,62.16,65.03,,63.61
13,58.72,60.41,,59.59
14,56.69,58.73,100.0,57.77
15,55.68,57.24,55.56,56.53
16,55.38,53.61,66.67,54.46
17,50.14,54.71,,52.36
18,64.48,67.89,0.0,66.16
19,58.31,58.46,50.0,58.37
20,59.96,59.21,20.0,59.52
21,59.34,62.6,,61.03
22,54.44,56.58,50.98,55.56
