,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,28.57,24.53,28.57,28.57,28.57,30.76,28.57,27.92
1,62.5,33.1,62.5,62.5,62.5,38.72,62.5,36.34
2,66.67,41.8,66.67,66.67,66.67,46.23,66.67,44.34
3,50.0,47.27,50.0,50.0,50.0,51.42,50.0,49.57
4,50.0,52.28,50.0,50.0,50.0,56.92,50.0,54.81
5,62.5,57.41,62.5,62.5,62.5,58.84,62.5,58.18
6,60.0,59.96,60.0,60.0,60.0,64.15,60.0,62.3
7,70.0,68.52,70.0,70.0,70.0,68.6,70.0,68.57
8,57.14,73.14,57.14,57.14,57.14,70.31,57.14,71.56
9,57.38,55.73,57.38,57.38,57.38,57.54,57.38,56.73
