,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,33.33,27.55,33.33,33.33,33.33,36.13,33.33,32.28
1,66.67,34.74,66.67,66.67,66.67,44.02,66.67,39.89
2,100.0,42.43,100.0,100.0,100.0,51.13,100.0,47.29
3,100.0,48.8,100.0,100.0,100.0,57.65,100.0,53.75
4,33.33,54.82,33.33,33.33,33.33,60.15,33.33,57.67
5,0.0,59.99,0.0,0.0,0.0,62.18,0.0,61.13
6,66.67,60.25,66.67,66.67,66.67,66.08,66.67,63.48
7,66.67,66.51,66.67,66.67,66.67,73.0,66.67,70.01
8,50.0,73.13,50.0,50.0,50.0,70.35,50.0,71.55
9,57.58,55.41,57.58,57.58,57.58,59.78,57.58,57.81
