,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,60.0,34.15,60.0,60.0,60.0,40.36,60.0,37.39
1,45.45,46.49,45.45,45.45,45.45,49.91,45.45,48.29
2,66.67,52.7,66.67,66.67,66.67,55.3,66.67,54.1
3,77.78,58.71,77.78,77.78,77.78,61.97,77.78,60.45
4,50.0,63.54,50.0,50.0,50.0,65.2,50.0,64.39
5,60.0,67.4,60.0,60.0,60.0,67.5,60.0,67.45
6,33.33,70.19,33.33,33.33,33.33,70.19,33.33,70.18
7,80.0,73.26,80.0,80.0,80.0,71.96,80.0,72.58
8,57.14,76.2,57.14,57.14,57.14,70.68,57.14,73.19
9,59.77,62.59,59.77,59.77,59.77,63.04,59.77,62.83
