,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,43.75,33.31,43.75,43.75,43.75,39.88,43.75,36.78
1,40.0,42.06,40.0,40.0,40.0,49.08,40.0,45.84
2,60.0,48.63,60.0,60.0,60.0,53.11,60.0,51.09
3,75.0,54.15,75.0,75.0,75.0,58.52,75.0,56.52
4,50.0,60.31,50.0,50.0,50.0,63.4,50.0,61.94
5,57.14,64.93,57.14,57.14,57.14,67.6,57.14,66.31
6,62.5,68.75,62.5,62.5,62.5,68.54,62.5,68.64
7,100.0,71.31,100.0,100.0,100.0,69.68,100.0,70.45
8,20.0,71.89,20.0,20.0,20.0,67.84,20.0,69.62
9,52.78,57.78,52.78,52.78,52.78,60.02,52.78,58.97
