,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,50.0,50.52,50.0,50.0,50.0,48.89,50.0,49.67
1,100.0,55.33,100.0,100.0,100.0,56.36,100.0,55.9
2,50.0,55.9,50.0,50.0,50.0,55.96,50.0,55.92
3,100.0,61.91,100.0,100.0,100.0,66.55,100.0,64.38
4,,0.0,,,,,,0.0
5,70.0,55.12,70.0,70.0,70.0,55.95,70.0,55.57
