,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,40.35,48.83,25.0,44.65
1,42.93,50.25,50.0,46.87
2,55.69,60.53,66.67,58.17
3,56.13,60.07,64.29,58.21
4,51.3,57.08,60.0,54.32
5,56.53,57.2,66.67,56.88
6,58.09,60.24,71.43,59.2
7,54.38,58.82,60.0,56.67
8,51.82,56.71,57.14,54.33
9,35.74,43.36,25.0,39.65
10,46.51,49.68,42.86,48.17
11,53.47,55.64,50.0,54.61
12,63.1,63.43,40.0,63.23
13,64.3,66.79,50.0,65.58
14,53.95,54.87,57.14,54.44
15,58.56,59.69,100.0,59.16
16,59.85,62.09,100.0,60.99
17,59.73,60.15,37.5,59.9
18,70.86,70.0,20.0,70.33
19,50.82,54.7,100.0,53.02
20,33.69,54.1,0.0,44.91
21,30.31,36.5,23.08,33.5
22,43.76,52.38,50.0,48.28
23,41.42,46.64,50.0,44.22
24,60.68,65.22,,63.06
25,64.63,66.6,50.0,65.63
26,64.68,67.01,46.15,65.88
27,57.83,58.9,20.0,58.3
28,54.71,56.61,37.5,55.66
29,66.56,66.97,66.67,66.78
30,,0.0,,0.0
31,0.0,,,0.0
32,,0.0,,0.0
33,3.57,0.0,,2.17
34,53.42,57.11,47.19,55.33
