,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,11.46,27.08,11.46,11.46,11.46,34.53,11.46,30.98
1,14.74,31.55,14.74,14.74,14.74,41.03,14.74,36.76
2,17.72,36.4,17.72,17.72,17.72,49.54,17.72,43.67
3,22.73,45.73,22.73,22.73,22.73,55.78,22.73,51.19
4,22.73,52.7,22.73,22.73,22.73,60.7,22.73,56.98
5,33.93,56.63,33.93,33.93,33.93,64.48,33.93,60.91
6,35.09,61.36,35.09,35.09,35.09,68.72,35.09,65.3
7,27.03,67.71,27.03,27.03,27.03,71.7,27.03,69.77
8,37.31,72.97,37.31,37.31,37.31,71.28,37.31,71.9
9,21.5,51.49,21.5,21.5,21.5,57.95,21.5,54.94
