,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,46.67,59.71,0.0
1,OTHER,46.15,65.12,0.0
2,NATIVE-AM,0.0,100.0,0.0
3,HISP-LT,37.04,59.38,0.0
4,ASIA-PI,33.33,60.0,0.0
5,WHITE,63.52,59.95,100.0
6,BLACK,56.1,64.67,0.0
