,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,66.67,33.59,66.67,66.67,66.67,40.21,66.67,37.07
1,40.0,45.61,40.0,40.0,40.0,49.3,40.0,47.52
2,100.0,54.03,100.0,100.0,100.0,55.85,100.0,55.02
3,0.0,57.7,0.0,0.0,0.0,59.75,0.0,58.74
4,75.0,62.31,75.0,75.0,75.0,61.94,75.0,62.13
5,50.0,64.77,50.0,50.0,50.0,64.96,50.0,64.85
6,50.0,64.69,50.0,50.0,50.0,67.48,50.0,66.11
7,100.0,69.79,100.0,100.0,100.0,71.16,100.0,70.51
8,100.0,75.18,100.0,100.0,100.0,70.5,100.0,72.66
9,60.0,60.44,60.0,60.0,60.0,61.32,60.0,60.9
