,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,0.0,12.5,,5.56
1,0.0,0.0,,0.0
2,65.57,65.1,27.27,65.23
3,64.13,64.39,54.55,64.25
4,55.91,57.87,26.67,56.92
5,62.55,64.17,25.0,63.37
6,58.88,59.89,55.56,59.41
7,66.25,69.3,50.0,67.79
8,48.09,50.09,20.0,49.14
9,64.54,73.15,,68.97
10,48.15,53.28,14.81,50.92
11,61.36,61.52,50.0,61.42
12,63.44,63.76,0.0,63.53
13,38.95,45.82,32.65,42.84
14,60.56,63.15,35.71,61.95
15,48.36,54.12,33.33,51.68
16,61.91,61.17,33.33,61.48
17,62.94,63.9,50.0,63.42
18,56.81,58.7,33.49,57.78
