,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,0.0,,,0.0
1,62.52,66.32,75.0,64.57
2,61.69,67.72,42.86,64.69
3,26.06,41.88,0.0,33.95
4,56.49,51.83,33.33,53.89
5,59.34,67.11,46.15,63.16
6,24.25,33.61,0.0,28.51
7,40.45,53.5,16.67,47.12
8,32.64,51.59,0.0,43.01
9,0.0,,,0.0
10,30.14,50.6,30.0,41.68
11,30.56,46.05,0.0,39.22
12,21.73,35.29,0.0,29.9
13,34.25,48.63,40.0,41.97
14,40.57,49.88,66.67,45.05
15,55.41,55.87,66.67,55.63
16,23.56,36.98,21.05,28.27
17,49.85,49.82,50.0,49.83
18,49.52,53.74,66.67,51.76
19,64.42,67.71,25.0,66.05
20,56.33,59.06,50.0,57.67
21,46.67,50.52,100.0,48.76
22,57.11,59.91,50.0,58.52
23,52.53,57.48,50.0,54.66
24,54.78,55.6,62.5,55.17
25,53.64,53.86,69.57,53.78
26,51.74,48.81,33.33,50.52
27,45.69,55.91,20.0,50.48
28,49.46,52.22,33.33,50.51
29,24.54,33.11,0.0,28.94
30,25.0,26.67,0.0,25.6
31,32.71,42.35,11.11,37.51
32,31.35,33.13,20.0,32.24
33,28.45,38.56,27.27,33.39
34,46.84,51.06,28.57,48.56
35,32.95,37.54,28.57,35.5
36,30.02,37.67,0.0,33.64
37,32.22,33.74,36.84,32.85
38,26.85,36.0,50.0,30.97
39,41.25,59.28,33.33,48.22
40,26.85,35.56,35.71,31.32
41,43.89,42.74,40.91,43.3
42,44.44,40.0,,42.11
43,34.2,45.88,0.0,40.05
44,35.8,43.8,20.0,39.47
45,32.96,42.6,50.0,37.87
46,29.85,31.79,39.39,31.31
47,22.22,35.44,,28.75
48,34.7,48.2,28.57,41.74
49,27.71,49.86,33.33,36.99
50,23.89,41.29,0.0,31.82
51,11.44,23.72,0.0,14.83
52,21.57,19.4,12.5,20.22
53,39.15,52.97,25.0,46.43
54,39.29,49.39,0.0,44.27
55,23.94,37.8,0.0,31.14
56,38.96,52.21,22.22,46.02
57,35.26,52.45,40.0,44.56
58,27.93,41.66,12.5,35.16
59,22.73,27.76,16.0,24.08
60,35.44,50.7,16.67,43.38
61,36.64,47.99,0.0,41.73
62,57.93,62.65,75.0,60.32
63,57.27,62.99,72.73,60.14
64,37.17,47.68,20.0,42.61
65,37.25,34.15,33.33,35.83
66,12.76,25.33,0.0,18.18
67,53.45,60.0,0.0,56.54
68,54.57,63.69,50.0,59.01
69,38.19,44.01,21.43,41.22
70,58.16,61.3,100.0,59.9
71,60.57,63.86,73.91,62.19
72,52.94,54.63,80.0,53.71
73,54.05,57.15,40.0,55.57
74,60.0,59.78,,59.9
75,47.48,48.69,41.67,48.03
76,65.28,65.0,44.44,65.08
77,66.67,70.69,33.33,68.62
78,66.22,68.64,100.0,67.46
79,47.66,52.68,100.0,50.3
80,47.04,43.03,50.0,45.02
81,53.55,62.94,62.5,57.64
82,54.03,56.5,42.11,55.28
83,69.9,71.95,33.33,70.91
84,56.02,56.16,18.18,56.0
85,47.1,51.0,47.06,49.06
86,59.32,58.94,85.71,59.2
87,57.91,62.4,66.67,60.28
88,66.63,67.2,100.0,66.98
89,53.6,57.5,54.55,55.68
90,44.29,47.17,40.0,45.83
91,44.66,46.03,100.0,45.51
92,60.31,62.47,66.67,61.5
93,61.81,64.91,60.0,63.42
94,65.55,66.15,60.0,65.85
95,69.24,70.56,50.0,69.87
96,70.7,72.13,71.43,71.44
97,73.64,74.23,50.0,73.89
98,51.99,52.43,85.71,52.32
99,68.79,68.15,66.67,68.42
100,68.12,68.87,71.43,68.52
101,58.17,61.86,0.0,60.19
102,55.48,57.85,47.06,56.77
103,66.43,65.55,60.0,65.95
104,69.33,71.53,66.67,70.45
105,58.88,62.23,50.0,60.9
106,47.53,52.49,75.0,49.89
107,54.34,59.69,61.54,57.24
108,30.85,44.76,25.0,38.41
109,38.74,52.56,22.22,46.45
110,31.63,46.08,0.0,39.0
111,38.01,50.98,33.33,44.89
112,60.08,64.75,37.5,62.61
113,56.34,57.48,54.55,56.93
114,47.59,54.73,55.56,50.96
115,27.72,44.28,0.0,35.6
116,25.81,43.61,17.39,36.05
117,62.83,66.23,50.0,64.58
118,,0.0,,0.0
119,40.38,62.01,0.0,52.35
120,53.28,67.13,16.67,61.23
121,29.09,49.19,0.0,41.69
122,30.73,42.85,6.25,37.65
123,41.11,56.21,0.0,49.23
124,41.33,58.18,0.0,50.48
125,55.39,67.21,0.0,62.09
126,42.79,58.13,0.0,50.99
127,31.17,46.12,0.0,39.81
128,64.56,76.56,0.0,70.94
129,29.07,49.49,0.0,39.13
130,50.95,60.63,0.0,56.2
131,39.9,57.41,41.67,48.91
132,34.7,51.48,0.0,43.65
133,29.75,52.18,0.0,43.23
134,46.16,62.8,25.0,55.4
135,61.83,69.76,0.0,66.12
136,43.8,55.04,0.0,49.84
137,44.92,62.5,,54.34
138,44.21,56.73,20.0,51.6
139,27.37,39.23,16.67,33.96
140,38.44,55.44,25.0,47.38
