,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,50.0,41.67,0.0
1,OTHER,66.67,45.83,0.0
2,NATIVE-AM,25.0,0.0,0.0
3,HISP-LT,69.7,70.0,0.0
4,ASIA-PI,41.38,57.89,0.0
5,WHITE,67.06,68.15,0.0
6,BLACK,54.32,75.0,0.0
