,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,100.0,64.53,100.0,100.0,100.0,62.6,100.0,63.53
1,0.0,62.58,0.0,0.0,0.0,63.0,0.0,62.77
2,0.0,63.03,0.0,0.0,0.0,64.04,0.0,63.52
3,,66.74,,,,68.36,,67.57
4,50.0,53.99,50.0,50.0,50.0,54.84,50.0,54.43
5,0.0,50.62,0.0,0.0,0.0,48.53,0.0,49.46
6,,62.45,,,,63.31,,62.89
7,,40.33,,,,46.51,,44.25
8,,52.25,,,,54.49,,53.55
9,,56.01,,,,59.76,,58.1
10,0.0,61.98,0.0,0.0,0.0,59.24,0.0,60.45
11,28.57,57.71,28.57,28.57,28.57,57.73,28.57,57.71
