PRECINCT NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
200A,52.53,100,19.8,20.39,0,13.33,83.33,0,0,0,0,7.69,38.46,0,35.71,66.67,0,60.82,61.79,0,45.93,35.71
200B,39.02,0,16.13,12.5,0,20,25,0,0,0,0,0,22.22,0,33.33,100,0,34.8,38.86,0,46.21,48.03
300,59.12,50,28,24.14,0,30,40,0,100,25,0,54.55,45.45,0,56.25,68.75,0,61.84,65.21,0,58.5,44.95
304,51.81,0,27.27,27.27,0,100,0,0,0,50,0,64.29,62.5,0,100,0,0,56.99,55.14,0,44.93,27.50
400,62.77,100,26.67,26.89,0,36.36,16.67,0,100,0,0,50,100,0,28.57,50,20,65.96,66.97,0,59.6,51.72
404,74.54,0,33.33,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,73.72,78.15,0,66.67,50.00
405,64.8,0,7.14,33.33,0,0,0,0,100,0,0,0,33.33,0,0,0,0,66.54,69.87,0,50,50.00
406,60.31,0,18.6,14.04,0,100,0,0,100,20,0,16.67,28.57,0,33.33,0,50,63.25,66.34,0,55.56,33.33
407,61.75,0,7.69,26.32,0,0,0,0,0,0,0,100,0,0,0,0,0,65.37,65.24,0,50,100.00
408,65.1,0,38.46,19.05,0,0,0,0,0,0,0,50,20,0,100,0,0,69.5,68.49,0,100,0
409,62.78,100,24.14,21.21,0,25,33.33,0,0,0,0,50,0,0,0,100,100,63.6,70.14,0,60,50.00
TOTAL,58.18,66.67,23.28,23.0,,30.0,34.48,0.0,57.14,23.08,,42.31,42.42,,40.74,58.14,33.33,62.43,64.72,0.0,50.71,42.52
